target_id,solution_id,designation,source_id,random_index,ref_epoch,Distance,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,ruwe,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,excess noise in au,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
HD 115600,1636148068921376768,Gaia DR3 6061991269115437056,6061991269115437056,936197614,2016.0,4011.4,199.83279204774600,0.15812919,-59.47200941934280,0.17894925,0.2492894259361210,0.27142948,0.91843164,2.973174,8.838882,-8.838204099429870,0.2296346,0.10951101523347200,0.20920776,0.62953556,-0.3575983,0.055123266,0.079225555,-0.36878997,0.08614935,0.09217282,0.298346,0.27336985,0.43807793,314,0,310,4,39.51622,2797.5667,1.4229078,5.708,69.69332,95,FALSE,,1.4867581,0.043428034,-0.11727287,-0.002486243,-0.013130552,-0.12531036,0.08927559,36,16,0.37274748,46,30,0,0.023703665,71.394424,0,2,0.247349,0.55518854,0.061618328,0.24712075,-53.193317,-50.05969,-33.507683,29.792927,FALSE,325,4893.37531430248,39.126873,125.06431,16.463346,0,,,,,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,306.4731391136550,3.20781844724344,226.34199083243700,-46.199104905024500,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,199.83142075924,-59.47234473185000,9.1707,-32.737,-18.275,12.08,2000.0,9.39443277414717e-04
MWC 778,1636148068921376768,Gaia DR3 3427704139265485568,3427704139265485568,1748215040,2016.0,5963.9,87.55749864764720,0.24959515,23.872248844344100,0.1746904,0.16767606626804900,0.24566506,0.68253934,1.1976426,3.9787288,2.1014922066073100,0.33762667,-3.3784630871846500,0.19144395,-0.57599366,0.1653959,0.04078066,0.24183708,-0.27991217,0.26689315,-0.7388633,0.1393406,0.25139993,-0.62656933,384,0,383,1,5.2866893,583.9135,0.75286126,4.490,4.426728,95,FALSE,,1.36963,0.036127836,-0.02642739,0.059421826,-0.21761186,-0.12743141,0.18168841,45,14,0.5060075,46,31,1,0.08545107,168.47252,0,0,0.5191957,0.7638536,0.49374574,0.43100014,3.926661,17.378805,5.962315,21.383629,FALSE,343,1145.7995830513200,5.2005863,220.32123,18.039595,15,7243.2389162324500,621.2072,11.65994,15.68871,17,15102.001608974600,250.02191,60.402714,14.300309,19.501875,4,3,3,6,0,1.388401,-2.3508844,3.7392855,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,184.86941806748700,-1.7331230709230300,87.76650988194940,0.4519027081576210,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,7.160161e-13,0.9769347,0.02306538,,,,,,,,,,,,,,,,,,,,,,,87.55790876939,23.871624164800000,0.0,1.644,-9.493,0.0,2000.0,7.68702154726743e-04
PDS 70,1636148068921376768,Gaia DR3 6110141563309613184,6110141563309613184,663002554,2016.0,23722.2,212.0423142396230,0.034113,-41.397390056852600,0.030831654,0.04215458927227470,0.038098484,1.1064637,1.0809798,6.282694,-4.544744857404790,0.040946856,-4.337918519714200,0.041005537,-0.094781965,-0.37630516,-0.17173724,0.017989408,0.08658492,0.026673887,0.013519002,0.015056771,0.026314005,-0.15770325,193,0,193,0,1.5801376,235.37149,0.097185604,2.305,1.1269115,95,FALSE,,1.4571985,0.010106755,-0.045570634,-0.14603129,0.055565335,-0.10041393,-0.090153426,22,14,0.061150778,30,12,0,0.024350671,18.064997,0,0,0.30131367,0.087772146,0.14330716,0.7901285,-131.78241,40.8669,16.218756,-24.536306,FALSE,238,11819.759746428000,26.470732,446.52182,15.505845,4,7324.222337496720,529.94604,13.820694,15.676639,4,13053.242320865200,61.083305,213.69574,14.458599,1.7240168,0,1,4,0,0,1.2180395,0.17079353,1.047246,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,318.0622979312270,19.20901973035840,224.65200137163400,-26.641174210672700,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,8.0524115e-10,6.0054015e-05,0.9999393,,,,,,,,,,,,,,,,,,,,,,,212.04231062531,-41.39793702530000,8.8975,-29.697,-24.041,3.13,2000.0,6.6754816806055e-04
IRAS 18059-3211,1636148068921376768,Gaia DR3 4048824850626227456,4048824850626227456,740399123,2016.0,435.0,272.306299382616,0.9534301,-32.17958627351840,0.7516715,2.2987317128993500,1.0619196,2.1646948,1.7229244,12.029001,-8.238068646047810,1.4450539,8.765334813517500,0.79584074,0.3317552,-0.11628016,0.06512912,-0.050794255,-0.118442066,0.058972795,-0.46227086,-0.03887599,-0.030364482,0.061109137,130,0,129,1,10.327827,385.0567,4.2227135,1.837,12.107318,95,FALSE,,1.3618239,0.25367165,-0.020356797,0.15281695,0.39008215,-0.38222295,-0.22501962,15,11,2.000523,15,7,0,0.17729686,92.722336,3,0,0.14781213,0.45486844,0.31612018,0.5801986,-115.44662,-20.105919,-30.701088,-42.136185,FALSE,129,215.83743427217400,2.7107496,79.62279,19.85205,2,362.9678861268850,26.97897,13.453734,18.938871,2,559.0993377914320,39.960804,13.991194,17.879173,4.272045,0,2,0,2,0,1.0596981,-0.9131794,1.9728775,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,359.72326128215100,-6.020561321362390,271.97490187646300,-8.756114809968540,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.1309512e-07,0.0668947,0.93310505,,,,,,,,,,,,,,,,,,,,,,,272.30582400000000,-32.180565000000000,0.0,0.0,0.0,0.0,2000.0,0.0010582031635241400
V883 Ori,1636148068921376768,Gaia DR3 3016106909210376704,3016106909210376704,683006007,2016.0,655.3,84.57542007474480,0.22498941,-7.040553850416240,0.20376745,1.5259423933809100,0.29226956,5.22101,2.6260343,1.760996,-0.9380602611393520,0.29059717,1.4903521944274500,0.23884775,0.009208387,-0.12558548,-0.38312802,0.060281526,-0.21995129,0.055303205,-0.5570713,0.23048905,0.20893909,-0.044463936,428,0,428,0,39.43814,8691.817,2.577161,1.689,247.15227,31,FALSE,1.1176118,,,,,,,,49,22,0.41817787,51,31,0,0.1323884,172.91653,0,0,0.14995246,0.20965771,0.12606733,0.4508612,-125.66391,-6.341775,-17.416454,-42.31061,FALSE,417,3510.057610006000,32.799778,107.01468,16.824081,43,109.073906615023,7.5008316,14.541575,20.24424,49,9205.729804342980,175.48978,52.457355,14.8377495,2.6537466,0,3,0,3,0,5.4064903,3.4201584,1.9863319,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,210.93306392262100,-19.450955548568700,83.7575504066974,-30.362363005078700,FALSE,FALSE,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1.0202596e-13,5.0961454e-13,0.99999964,,,,,,,,,,,,,,,,,,,,,,,84.57542427558,-7.040560474200000,1.5259,-0.938,1.49,0.0,2000.0,1.58477339256681e-09
HD 95086,1636148068921376768,Gaia DR3 5231963962666401920,5231963962666401920,354312931,2016.0,4536.0,164.2599265971960,0.040003106,-68.66634751380840,0.047131598,0.22045938999723400,0.04766499,4.625185,1.7075819,6.276425,-6.029622189266200,0.064005844,1.7427467811196800,0.06785809,0.043429594,0.07227268,0.22218958,0.16979346,0.16821857,0.2765237,0.43854666,0.25271288,-0.094094805,0.2523458,256,0,254,2,14.349137,845.05646,0.36206558,1.642,23.306854,95,FALSE,,1.4351976,0.011841484,0.16067682,0.03540116,0.0014464717,0.07451839,0.10907255,29,20,0.10551676,32,19,0,0.005771687,169.94717,3,0,0.052539866,0.08651664,0.09498962,0.45286122,-129.10904,65.402084,45.11731,17.889355,FALSE,272,18278.988219236000,57.799698,316.2471,15.032487,10,33971.61374148320,6908.8853,4.9170904,14.010752,10,40228.843387842600,6553.567,6.1384654,13.236551,4.0593305,0,10,0,10,0,0.77420044,-1.0217352,1.7959356,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,292.80153946239500,-8.074898958423930,218.6448105193860,-63.363691285449100,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.0557907e-09,2.4826662e-05,0.9999739,,,,,,,,,,,,,,,,,,,,,,,164.26258988328,-68.66734700448,11.5659,-41.128,12.861,10.1,2000.0,0.0012271569759634600
HOPS 163,1636148068921376768,Gaia DR3 3016930787015758720,3016930787015758720,596710784,2016.0,300.4,84.32198528915320,0.35339406,-6.605048765774750,0.3467594,3.3284366531182800,0.5202149,6.3981957,6.0065064,2.513692,0.9915808946762400,0.4502984,2.309851447668480,0.424691,0.12453408,0.022868773,-0.12808506,-0.018695794,-0.2755123,-0.06053029,-0.32026637,0.23868407,0.24686034,0.01741416,413,0,399,14,96.92833,52994.027,4.415965,1.327,840.96405,95,FALSE,,0.9721472,0.09690677,-0.08081085,-0.08986573,0.08431171,-0.046100244,0.066064216,47,23,0.6436191,55,30,0,0.26171032,174.1676,14,0,0.09522914,0.20475776,0.09700772,0.5105965,-122.38044,-21.940296,-20.868519,-43.788292,FALSE,400,2496.4211008298000,33.905083,73.62971,17.194073,44,894.7444855561060,31.745512,28.184914,17.959295,43,4896.965820435160,101.314384,48.33436,15.523078,2.3200054,0,44,0,43,0,2.4362173,0.76522255,1.6709948,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,210.40064778838000,-19.482623958520400,83.48926660500760,-29.91609271406770,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,9.9447665e-11,3.0250588e-10,0.99983424,,,,,,,,,,,,,,,,,,,,,,,84.322076,-6.605042000000000,0.0,0.0,0.0,0.0,2000.0,9.03624118558038e-05
HOPS 65,1636148068921376768,Gaia DR3 3209528493645507200,3209528493645507200,837272493,2016.0,353.7,83.8399015219574,0.23663977,-5.160788884964970,0.21835002,2.827003953751590,0.34840938,8.114029,2.678228,3.2674096,3.1055216032846600,0.31757537,-1.0157264841466200,0.27199015,0.2943087,-0.05611329,-0.16057445,-0.21402007,-0.2792018,-0.23246473,-0.3342431,0.23112048,0.1964993,0.13037401,464,0,462,2,42.084625,3776.5437,2.8657084,1.014,104.32354,95,FALSE,,1.2759706,0.059206504,0.01793275,-0.04944223,0.010616066,-0.11374203,0.12345213,54,21,0.4664486,56,31,0,0.048816487,14.428907,1,0,0.081826635,0.27782887,0.15544881,0.64896023,-173.20139,-29.252596,-1.1774973,-44.43688,FALSE,434,1159.8300054138400,12.077474,96.0325,18.02638,49,825.7306051409600,36.575005,22.576365,18.046446,49,2080.904261246930,63.846573,32.592262,16.452265,2.506087,0,1,0,1,0,1.5941811,0.020065308,1.5741158,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,208.8046498842660,-19.261476894549400,83.01831343462760,-28.450898781333800,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.0164728e-10,2.624756e-06,0.9999962,,,,,,,,,,,,,,,,,,,,,,,83.83988766346,-5.160784370620000,2.827,3.106,-1.016,0.0,2000.0,2.44708665992602e-09
BP Psc,1636148068921376768,Gaia DR3 2637661878876647168,2637661878876647168,1143820107,2016.0,208.5,350.60311115305200,0.4371758,-2.2282710665069600,0.36190012,4.7970243016472500,0.49968022,9.600188,10.5407295,52.34318,46.091179419827400,0.550662,-24.807494740980100,0.43318054,0.0059764646,0.12132882,0.057005815,-0.09050439,-0.39474133,-0.08921186,0.22697894,0.058954686,-0.20949025,0.13004309,221,221,221,0,118.46125,441098.75,3.8181288,0.796,19838.959,95,FALSE,,1.2232782,0.09055973,-0.12924172,0.14658315,-0.105064,-0.116542496,0.002690772,25,16,0.771212,31,8,1,0.067450844,148.21764,0,0,,,,,,,,,FALSE,246,587905.6570804690,8061.7817,72.925026,11.264098,27,261672.86950195500,11361.924,23.030684,11.794146,27,548194.2382540590,19438.367,28.20166,10.400559,1.3775461,0,0,0,0,0,1.3935862,0.5300474,0.86353874,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,78.57737246993080,-57.22350649532260,350.4898414725130,1.6746668282897000,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1.0212877e-13,7.291573e-11,0.9999895,4922.661,4879.0864,4977.7974,4.1619,4.1502,4.1714,-0.6041,-0.683,-0.5277,143.1993,136.9558,150.6246,0.845,0.8077,0.8912,0.657,0.6272,0.6941,0.3526,0.3365,0.3723,PHOENIX,350.60290614837,-2.2281608109600000,4.797,46.091,-24.807,-5.8,2000.0,2.28318978606953e-09
BP Tau,1636148068921376768,Gaia DR3 164832740220871552,164832740220871552,267431404,2016.0,766.9,64.81503984225160,0.21085012,29.107299127634300,0.14309266,1.3038753345782300,0.23070458,5.65171,1.1895789,7.0152974,3.2004460205310600,0.285388,-6.2427192830762700,0.22617356,0.4493069,0.19886942,0.10005103,-0.04275197,0.07646506,-0.014844811,0.38645667,0.18218859,-0.10670756,0.25199866,342,0,334,8,4.7398543,516.6515,0.8282816,0.635,4.215069,95,FALSE,,1.2882468,0.039082665,-0.033885676,-0.11314344,0.11462358,-0.101869605,0.0123705845,40,15,0.41265902,45,21,3,0.04411015,172.5144,2,9,0.2258601,0.67886925,0.3239441,0.44167048,168.04018,-22.404491,43.122066,-31.235243,FALSE,287,843.3056648577900,4.1751018,201.98445,18.372404,20,1568.99837134609,157.24538,9.978025,17.349485,22,4324.848572179350,279.15897,15.492422,15.6579685,6.988981,11,0,10,2,0,1.6915169,-1.0229187,2.7144356,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,168.33535893921200,-14.915640960625400,67.97123090387250,7.573736439644020,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5.081217e-10,0.05406367,0.94593364,,,,,,,,,,,,,,,,,,,,,,,64.81597492818,29.10747971097,7.8494,8.889,-26.011,15.76,2000.0,8.58961821377588e-04
ISO-Oph 200,1636148068921376768,Gaia DR3 6047513617208868864,6047513617208868864,1581101531,2016.0,150.2,247.9323078790540,0.9844568,-24.923588178606100,0.5430408,6.659412668355550,1.0614814,6.2736974,1.205106,24.322203,-7.731444651200220,1.745558,-23.060665186572300,1.1447896,-0.12811492,-0.08729377,-0.059017997,0.2669553,0.03525431,0.25712153,0.1129517,0.06276587,0.0028085355,0.1410964,209,0,208,1,4.0263133,334.47757,3.775525,0.567,8.001863,95,FALSE,,0.99938816,0.20045862,0.15211107,0.012332327,-0.06861528,-0.17684871,0.053959496,24,14,2.4350028,27,6,0,0.185274,174.02255,0,0,0.07982801,0.54467005,0.1356699,0.24174583,-131.42032,13.83414,-17.496405,43.14111,FALSE,217,153.42228092208900,4.263289,35.986835,20.222647,13,55.736234914334500,15.425526,3.6132472,20.973198,24,360.4695859783020,27.65844,13.032897,18.355724,2.7128122,0,0,0,0,0,2.6174736,0.7505512,1.8669224,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,353.4829936566450,15.66065815040460,250.0512103068050,-2.9996660019579200,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.0205361e-13,5.09753e-13,0.99999696,,,,,,,,,,,,,,,,,,,,,,,247.93234576974000,-24.92348568676,6.6594,-7.731,-23.061,0.0,2000.0,2.44888480189005e-09
PDS 144N,1636148068921376768,Gaia DR3 6234854940998102912,6234854940998102912,1389475775,2016.0,130.0,237.3146046723200,0.59039766,-26.01402999408360,0.32155594,7.692509698107610,0.56075597,13.718106,20.965157,35.75016,-20.468426807123100,0.8106402,-29.31070662632980,0.44901508,0.14717185,0.12789612,-0.2817631,-0.17872019,-0.1438529,-0.024934454,0.49253798,-0.35161006,-0.31745672,0.3419521,306,0,306,0,243.04976,133502.14,4.126363,0.536,4755.6997,31,FALSE,1.5666016,,,,,,,,35,16,1.1742716,40,9,0,0.5043675,134.26747,0,0,0.2551464,0.64685667,0.25500438,0.40986037,-156.67046,-7.789895,-46.624664,-19.13934,FALSE,331,28163.411038294300,493.88168,57.024612,14.563153,33,31050.125270419800,87.4645,355.0026,14.108384,33,38578.917813234700,90.06291,428.35522,13.282021,2.4723227,0,7,0,7,0,0.82636356,-0.45476913,1.2811327,99.66126,11.467885,2,21,12,7,9.966821,,,760.711,,6500.0,2.0,-2.0,110,,,,12.9587965,0.08702553,9,,NOT_AVAILABLE,345.59941822500800,21.772410713699500,240.80164015241100,-5.827263605867090,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4.451199e-08,2.5370797e-08,0.99996436,,,,,,,,,,,,,,,,,,,,,,,237.31470589857300,-26.01389972424110,7.6925,-20.468,-29.311,0.0,2000.0,2.17881337649629e-09
V4046 Sgr,1636148068921376768,Gaia DR3 4045698428032959616,4045698428032959616,1764739086,2016.0,5249.9,273.54354002462400,0.17780007,-32.79404734432730,0.14713076,0.1904780777239850,0.21496277,0.88609797,1.0535237,3.8382804,3.738993808460470,0.4275332,0.8673654848473290,0.3570992,-0.22291814,-0.00418799,0.25708297,-0.18648951,-0.21675897,-0.022004226,0.27723697,-0.5064731,-0.12686744,0.5934844,106,0,106,0,0.7974827,114.62799,0.09492416,0.498,0.06997047,95,FALSE,,1.4950767,0.054533795,0.101750955,-0.12547907,0.22769563,-0.50731146,-0.55534536,12,9,0.69401056,12,10,0,0.16376314,5.6881094,0,16,0.3389781,0.13380635,0.4790221,0.92008865,-70.05462,-0.7499721,-38.028397,43.670826,FALSE,105,1602.4933159143900,4.3730607,366.44662,17.675377,0,,,,,0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,359.6713726349440,-7.230535062639550,273.01873822869600,-9.391891470613960,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,273.54367444807,-32.79292134335,13.9893,3.51,-52.721,-51.01,2000.0,9.00908429709059e-04
WSB 38,1636148068921376768,Gaia DR3 6049174399459153024,6049174399459153024,871109189,2016.0,133.4,246.69345331673300,0.42481053,-24.20012360941410,0.25439355,7.497924977987000,0.50520265,14.84142,15.4846115,22.89504,-0.07479954066318180,0.59718907,-22.894917870730100,0.421648,-0.5309434,0.021910658,0.1397779,-0.17293863,0.08815961,-0.1271208,0.51934326,-0.43599227,0.19251114,-0.29879048,495,0,495,0,244.53734,254542.08,3.526675,0.470,7955.1113,95,FALSE,,1.3632061,0.0717243,-0.047111653,0.10539947,-0.17279147,0.0130516,-0.16678144,57,16,0.879002,59,59,0,0.15733056,13.589079,22,0,0.4596521,0.7289375,0.43248782,0.47132564,13.957603,18.341064,16.884954,25.669886,FALSE,498,49889.36655818050,146.77954,339.8932,13.942347,57,6500.460893052710,22.077757,294.43484,15.806182,58,74537.27320439770,188.9572,394.46643,12.566961,1.6243489,0,0,0,1,0,3.2392206,1.8638353,1.3753853,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,353.2813121352830,16.985603474772500,248.82532430880800,-2.4578529055154000,FALSE,FALSE,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1.0202781e-13,5.096238e-13,0.99999946,,,,,,,,,,,,,,,,,,,,,,,246.69345368120000,-24.20002185422,7.4979,-0.075,-22.895,0.0,2000.0,9.65921200328005e-10
GG Tau,1636148068921376768,Gaia DR3 3314132593936905600,3314132593936905600,287758311,2016.0,116.4,68.12652278441500,0.42638764,17.52783408020430,0.2671611,8.591408848333850,0.47250852,18.182549,6.4424753,22.497034,13.209069793288600,0.5811666,-18.210902976060100,0.3988081,0.36909157,-0.1573129,0.25493824,0.12495882,-0.09149841,0.0831395,0.42567295,-0.016953904,0.0885792,0.05100688,430,430,394,36,102.91281,593435.3,3.719015,0.433,19049.691,95,FALSE,,1.1389761,0.07748271,-0.019567544,-0.2115824,0.15363066,-0.05883406,0.068392985,48,18,0.8152777,51,51,0,0.20049094,74.72904,81,0,,,,,,,,,FALSE,385,493481.9098900630,2312.335,213.41281,11.454188,46,175123.15353319100,1033.9557,169.37201,12.230184,46,664437.1412585940,4510.6226,147.30498,10.191761,1.7012991,0,1,0,1,0,2.0384226,0.77599525,1.2624273,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,179.58067075136600,-20.255161530752800,69.12794687490470,-4.340548962884630,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.0819808e-13,5.4044394e-13,0.9993886,,,,,,,,,,,,,,,,,,,,,,,68.12646121898,17.52791501754,8.5914,13.209,-18.211,12.0,2000.0,5.33741516058667e-10
IRAS 04158+2805,1636148068921376768,Gaia DR3 164494296796124416,164494296796124416,1418678562,2016.0,128.9,64.74228321500130,0.46561965,28.206382498037000,0.2871214,7.757932585358500,0.53358525,14.539256,1.6953917,26.458195,11.849028886011800,0.65456355,-23.656639786393200,0.5436955,0.5805148,-0.28049648,-0.038552646,0.26566067,-0.3004201,0.1909814,0.56589305,0.0994996,-0.3638633,0.47296944,440,0,437,3,18.599855,1400.6993,2.753187,0.355,27.36424,95,FALSE,,1.2541103,0.07278464,0.037060075,-0.13267528,-0.019776177,-0.20520289,0.04163537,51,16,1.0266466,55,9,0,0.28712374,158.73988,0,0,0.3669245,0.68347317,0.30326065,0.30572096,178.52917,-18.093153,51.615334,-26.569834,FALSE,451,545.4180177416080,9.131677,59.728134,18.845543,52,180.11065710273400,11.887689,15.151024,19.699694,50,2424.0136153000300,124.55564,19.46129,16.286558,4.7745476,0,2,0,1,0,3.4131355,0.8541508,2.5589848,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,168.96790444857200,-15.581445119980600,67.75273332142560,6.696967882384970,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.02103974e-13,5.1000426e-13,0.99999195,,,,,,,,,,,,,,,,,,,,,,,64.7422234563,28.206487638650000,7.7579,11.849,-23.657,17.21,2000.0,1.42369553163178e-09
LkHa 358,1636148068921376768,Gaia DR3 3314312226648610560,3314312226648610560,277681828,2016.0,140.2,67.90063626619490,0.28198192,18.228580153895200,0.16197444,7.134000589360540,0.32724777,21.799997,2.356621,21.439219,8.296865155442690,0.3925641,-19.768715838940100,0.2640945,0.2926637,-9.885937e-04,-0.17719717,0.045644708,0.021816261,0.004924989,0.19878341,0.30097815,0.0026302114,0.13823915,402,0,402,0,32.566113,2983.942,2.3703578,0.332,85.987144,95,FALSE,,1.1938437,0.05162407,0.025333412,-0.09346401,-0.057830073,-0.114207156,0.22971267,46,18,0.55434895,46,16,0,0.26462585,83.75438,0,0,0.27835768,0.57544446,0.28964442,0.19492112,170.24237,-13.145744,47.831486,-40.351738,FALSE,401,1386.6656978772800,16.031538,86.49611,17.832438,40,435.10627361781700,21.062262,20.658098,18.742054,41,3090.6380685590500,98.272545,31.44966,16.022776,2.5426059,0,3,0,2,0,2.7192783,0.9096165,1.8096619,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,178.8562810406690,-19.98202328741030,69.01972616516920,-3.6155627849055400,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.0232258e-13,5.148502e-13,0.99997026,,,,,,,,,,,,,,,,,,,,,,,67.90059744292,18.22866801485,7.134,8.297,-19.769,0.0,2000.0,1.39845729437357e-09
